timestamp_close,symbol,session,strategy,regime,entry_price,exit_price,qty,stop_loss,take_profit,hold_bars,exit_reason,gross_pnl,gross_pnl_pct,is_win,risk_distance,reward_distance,rr_ratio,achieved_rr,rsi,macd_hist,adx,atr_pct,vwap_dist_pct,ema_diff_pct,vol_ratio,zscore_vwap
2026-02-27T23:31:07.848505+00:00,ABNB,2,?,MOMENTUM,139.9,137.42,3.574,137.8015,144.097,2,STOP_LOSS🛑STOP_LOSS,-8.8635,-1.7727,0,2.0985,4.197,2.0,-1.182,69.15,-0.017003,35.45,0.1348,0.6936,0.1773,1.0,0
2026-02-27T23:31:39.497086+00:00,ABBV,3,?,MOMENTUM,223.945,230.665,2.2327,220.5858,230.6633,65,STOP_LOSSTAKE_PROFITSTOP_LOSS,15.0037,3.0007,1,3.3592,6.7183,2.0,2.0,62.33,-0.065731,39.16,0.1271,0.6953,0.1623,1.0,0
2026-02-27T23:31:44.295165+00:00,ABBV,3,?,MOMENTUM,222.475,218.72,2.2474,219.1379,229.1492,10,STOP_LOSS🛑STOP_LOSS,-8.439,-1.6878,0,3.3371,6.6742,2.0,-1.125,69.29,0.05144,38.67,0.1635,1.1507,0.2058,1.0,0
2026-02-27T23:31:51.117221+00:00,ABBV,3,?,MOMENTUM,220.935,222.75,2.2631,217.621,227.5631,45,STOP_LOSSTSTOP_LOSSRSTOP_LOSSASTOP_LOSSISTOP_LOSSLSTOP_LOSSISTOP_LOSSNSTOP_LOSSGSTOP_LOSS_STOP_LOSSSSTOP_LOSSTSTOP_LOSSOSTOP_LOSSPSTOP_LOSS,4.1075,0.8215,1,3.314,6.6281,2.0,0.548,66.79,0.063914,25.96,0.0939,0.9301,0.0674,1.0,0
2026-02-27T23:32:00.527919+00:00,ABBV,3,?,MOMENTUM,223.215,219.71,2.24,219.8668,229.9115,82,STOP_LOSS🛑STOP_LOSS,-7.8512,-1.5702,0,3.3482,6.6965,2.0,-1.047,65.51,0.026221,32.58,0.1366,1.2882,0.1669,1.0,0
2026-02-27T23:32:48.847195+00:00,AAPL,1,?,MOMENTUM,271.955,269.33,1.8385,267.8757,280.1137,234,STOP_LOSSTSTOP_LOSSRSTOP_LOSSASTOP_LOSSISTOP_LOSSLSTOP_LOSSISTOP_LOSSNSTOP_LOSSGSTOP_LOSS_STOP_LOSSSSTOP_LOSSTSTOP_LOSSOSTOP_LOSSPSTOP_LOSS,-4.8261,-0.9652,0,4.0793,8.1587,2.0,-0.643,79.07,0.33806,35.8,0.2801,2.9625,0.0578,1.0,0
2026-02-27T23:32:57.738411+00:00,ABNB,2,?,MOMENTUM,139.9,137.42,3.574,137.8015,144.097,2,STOP_LOSS🛑STOP_LOSS,-8.8635,-1.7727,0,2.0985,4.197,2.0,-1.182,69.15,-0.017003,35.45,0.1348,0.6936,0.1773,1.0,0
2026-02-27T23:33:33.220300+00:00,ABBV,3,?,MOMENTUM,223.945,230.665,2.2327,220.5858,230.6633,65,STOP_LOSSTAKE_PROFITSTOP_LOSS,15.0037,3.0007,1,3.3592,6.7183,2.0,2.0,62.33,-0.065731,39.16,0.1271,0.6953,0.1623,1.0,0
2026-02-27T23:45:31.361504+00:00,ABBV,7,?,MOMENTUM,230.715,231.58,2.1672,227.2543,237.6364,6,STOP_LOSSTSTOP_LOSSRSTOP_LOSSASTOP_LOSSISTOP_LOSSLSTOP_LOSSISTOP_LOSSNSTOP_LOSSGSTOP_LOSS_STOP_LOSSSSTOP_LOSSTSTOP_LOSSOSTOP_LOSSPSTOP_LOSS,1.8746,0.3749,1,3.4607,6.9214,2.0,0.25,62.22,0.030319,26.29,0.2292,3.3167,-0.0377,1.0,0
2026-02-27T23:47:11.391589+00:00,AAPL,9,?,NEUTRAL,257.405,265.245,1.9425,253.5439,265.1271,152,STOP_LOSSTAKE_PROFITSTOP_LOSS,15.2292,3.0458,1,3.8611,7.7221,2.0,2.031,62.98,0.026228,22.92,0.1828,-0.0431,0.1116,1.0,0
2026-02-27T23:51:14.680574+00:00,ABBV,15,?,MOMENTUM,230.715,231.58,2.1672,227.2543,237.6364,6,STOP_LOSSTSTOP_LOSSRSTOP_LOSSASTOP_LOSSISTOP_LOSSLSTOP_LOSSISTOP_LOSSNSTOP_LOSSGSTOP_LOSS_STOP_LOSSSSTOP_LOSSTSTOP_LOSSOSTOP_LOSSPSTOP_LOSS,1.8746,0.3749,1,3.4607,6.9214,2.0,0.25,62.22,0.030319,26.29,0.2292,3.3167,-0.0377,1.0,0
2026-02-27T23:52:08.421124+00:00,AAPL,1,?,NEUTRAL,257.405,265.245,1.9425,253.5439,265.1271,152,STOP_LOSSTAKE_PROFITSTOP_LOSS,15.2292,3.0458,1,3.8611,7.7221,2.0,2.031,62.98,0.026228,22.92,0.1828,-0.0431,0.1116,1.0,0
2026-02-27T23:52:19.688131+00:00,AAPL,1,?,TREND_UP,265.265,260.76,1.8849,261.286,273.2229,63,STOP_LOSS🛑STOP_LOSS,-8.4915,-1.6983,0,3.979,7.9579,2.0,-1.132,64.85,0.178944,33.28,0.1375,1.5163,-0.0401,1.0,0
2026-02-27T23:54:16.393015+00:00,COIN,4,?,TREND_UP,168.86,169.24,2.961,166.3271,173.9258,7,STOP_LOSSTSTOP_LOSSRSTOP_LOSSASTOP_LOSSISTOP_LOSSLSTOP_LOSSISTOP_LOSSNSTOP_LOSSGSTOP_LOSS_STOP_LOSSSSTOP_LOSSTSTOP_LOSSOSTOP_LOSSPSTOP_LOSS,1.1252,0.225,1,2.5329,5.0658,2.0,0.15,63.57,0.187557,29.86,0.6263,6.5227,-0.1892,1.0,0
2026-02-27T23:55:59.096190+00:00,ABBV,7,?,MOMENTUM,223.945,230.665,2.2327,220.5858,230.6633,65,STOP_LOSSTAKE_PROFITSTOP_LOSS,15.0037,3.0007,1,3.3592,6.7183,2.0,2.0,62.33,-0.065731,39.16,0.1271,0.6953,0.1623,1.0,0
2026-02-27T23:56:26.592433+00:00,ABBV,7,?,NEUTRAL,225.17,219.77,2.2205,221.7924,231.9251,10,STOP_LOSS🛑STOP_LOSS,-11.9907,-2.3982,0,3.3776,6.7551,2.0,-1.599,62.88,0.055483,20.47,0.1158,0.9382,0.0051,1.0,0
2026-02-27T23:57:14.203974+00:00,CAT,8,?,TREND_UP,721.645,746.09,0.6929,710.8203,743.2944,101,STOP_LOSSTAKE_PROFITSTOP_LOSS,16.9379,3.3874,1,10.8247,21.6494,2.0,2.258,62.82,-0.638607,48.1,0.1317,3.9224,0.2599,1.0,0
2026-02-27T23:57:56.558408+00:00,CAT,9,?,TREND_UP,721.645,746.09,0.6929,710.8203,743.2944,101,STOP_LOSSTAKE_PROFITSTOP_LOSS,16.9379,3.3874,1,10.8247,21.6494,2.0,2.258,62.82,-0.638607,48.1,0.1317,3.9224,0.2599,1.0,0
